League,Division,ShortTeam,PfxTeam,TeamName,CityArea,Stadium
AL,Central,CWS,chn,Chicago White Sox,"Chicago,ÊIL",U.S. Cellular Field
AL,Central,CLE,cle,Cleveland Indians,"Cleveland,ÊOH",Progressive Field
AL,Central,DET,det,Detroit Tigers,"Detroit,ÊMI",Comerica Park
AL,Central,KC,kca,Kansas City Royals,"Kansas City,ÊMO",Kauffman Stadium
AL,Central,MIN,min,Minnesota Twins,"Minneapolis,ÊMN",Target Field
AL,East,BAL,bal,Baltimore Orioles,"Baltimore,ÊMD",Oriole Park at Camden Yards
AL,East,BOS,bos,Boston Red Sox,"Boston,ÊMA",Fenway Park
AL,East,NYY,nyn,New York Yankees,"New York,ÊNY",Yankee Stadium
AL,East,TB,tba,Tampa Bay Rays,"St. Petersburg,ÊFL",Tropicana Field
AL,East,TOR,tor,Toronto Blue Jays,"Toronto,ÊON",Rogers Centre
AL,West,LAA,ana,Los Angeles Angels,"Anaheim,ÊCA",Angel Stadium of Anaheim
AL,West,OAK,oak,Oakland Athletics,"Oakland,ÊCA",O.co Coliseum
AL,West,SEA,sea,Seattle Mariners,"Seattle,ÊWA",Safeco Field
AL,West,TEX,tex,Texas Rangers,"Arlington,ÊTX",Rangers Ballpark in Arlington
NL,Central,CHC,cha,Chicago Cubs,"Chicago,ÊIL",Wrigley Field
NL,Central,CIN,cin,Cincinnati Reds,"Cincinnati,ÊOH",Great American Ball Park
NL,Central,HOU,hou,Houston Astros,"Houston,ÊTX",Minute Maid Park
NL,Central,MIL,mil,Milwaukee Brewers,"Milwaukee,ÊWI",Miller Park
NL,Central,PIT,pit,Pittsburgh Pirates,"Pittsburgh,ÊPA",PNC Park
NL,Central,STL,sln,St. Louis Cardinals,"St. Louis,ÊMO",Busch Stadium
NL,East,ATL,atl,Atlanta Braves,"Atlanta,ÊGA",Turner Field
NL,East,FLA,flo,Florida Marlins,"Miami Gardens,ÊFL",Sun Life Stadium
NL,East,NYM,nya,New York Mets,"New York,ÊNY",Citi Field
NL,East,PHI,phi,Philadelphia Phillies,"Philadelphia,ÊPA",Citizens Bank Park
NL,East,WSH,was,Washington Nationals,"Washington, D.C.",Nationals Park
NL,West,ARI,ari,Arizona Diamondbacks,"Phoenix,ÊAZ",Chase Field
NL,West,COL,col,Colorado Rockies,"Denver,ÊCO",Coors Field
NL,West,LAD,lan,Los Angeles Dodgers,"Los Angeles,ÊCA",Dodger Stadium
NL,West,SD,sdn,San Diego Padres,"San Diego,ÊCA",Petco Park
NL,West,SF,sfn,San Francisco Giants,"San Francisco,ÊCA",AT&T Park
